M,22,171,70
M,22,175,65
M,26,175,65
M,18,182,68
M,22,179,65
F,21,166,70
F,23,170,61
M,19,158,52
M,22,165,64
M,21,178,73
M,25,178,73
M,25,165,68
M,23,175,64
F,25,169,60
M,28,178,78
F,20,164,50
M,22,186,85
M,26,186,85
M,34,186,85
M,29,208,110
M,28,180,68
M,25,161,62
F,23,163,54
M,18,181,73
M,24,176,75
M,16,168,60
M,25,167,52
M,29,165,54
M,23,174,57
M,27,174,57
M,31,174,57
M,25,188,75
F,55,NA,NA
M,41,182,98
F,25,168,63
F,30,168,63
F,24,167,52
M,19,168,55
F,19,190,86
F,23,190,86
M,28,191,110
M,32,191,110
F,17,176,45
M,20,177,82
M,23,184,84
M,27,184,84
M,28,171,62
M,32,171,62
F,27,172,72
F,31,172,72
F,20,159,55
M,25,166,61
F,18,167,55
M,24,179,78
M,27,179,68
M,26,173,74
M,24,191,75
M,20,184,69
M,24,184,69
M,28,184,69
F,26,180,70
M,22,190,99
M,26,190,99
M,28,190,99
M,24,200,104
M,28,200,104
M,32,200,104
F,18,169,52
M,22,175,74
M,26,180,81
M,30,180,81
M,26,173,73
M,30,173,73
M,29,160,62
M,20,168,72
M,22,185,61
M,20,180,73
F,27,164,63
F,31,164,63
F,24,172,69
M,23,188,91
M,20,188,78
F,16,190,62
F,25,182,70
M,20,184,70
M,29,188,82
M,22,177,82
M,26,177,82
M,21,178,72
F,20,168,63
F,24,168,63
F,21,188,66
F,25,188,66
F,29,188,66
F,33,188,66
F,37,188,66
M,18,192,89
M,22,192,89
M,24,173,50
M,25,208,109
M,23,177,75
M,23,162,60
M,19,156,56
M,23,156,56
M,22,179,60
F,29,162,51
F,25,165,58
M,21,172,67
M,26,168,67
F,23,160,NA
F,28,156,51
